rank,player,avg,total_sg_ott,measured_rounds,tournament
1,Austin Eckroat,1.466,4.397,3,The RSM Classic
2,Luke Clanton,1.319,3.957,3,The RSM Classic
3,Kevin Yu,1.290,3.871,3,The RSM Classic
4,Sam Stevens,1.235,3.705,3,The RSM Classic
5,Davis Thompson,1.173,3.520,3,The RSM Classic
6,Joel Dahmen,1.120,3.361,3,The RSM Classic
7,Ben Griffin,1.035,3.105,3,The RSM Classic
8,Joe Highsmith,0.980,2.939,3,The RSM Classic
9,Doug Ghim,0.932,2.796,3,The RSM Classic
10,Stewart Cink,0.902,2.705,3,The RSM Classic
11,Daniel Berger,0.859,2.577,3,The RSM Classic
12,Patrick Rodgers,0.820,2.459,3,The RSM Classic
13,Maverick McNealy,0.782,2.345,3,The RSM Classic
14,Garrick Higgo,0.768,2.305,3,The RSM Classic
15,S.H. Kim,0.759,2.278,3,The RSM Classic
16,Adam Svensson,0.680,2.039,3,The RSM Classic
17,Marcus Byrd,0.670,2.010,3,The RSM Classic
18,Bud Cauley,0.669,2.008,3,The RSM Classic
18,Christo Lamprecht,0.669,2.007,3,The RSM Classic
20,Lucas Glover,0.653,1.960,3,The RSM Classic
21,Chandler Phillips,0.646,1.937,3,The RSM Classic
22,Lee Hodges,0.635,1.906,3,The RSM Classic
23,Taylor Moore,0.614,1.841,3,The RSM Classic
24,Henrik Norlander,0.568,1.705,3,The RSM Classic
25,Carson Young,0.563,1.689,3,The RSM Classic
26,Adrien Dumont de Chassart,0.494,1.482,3,The RSM Classic
27,J.T. Poston,0.480,1.440,3,The RSM Classic
28,Lanto Griffin,0.458,1.375,3,The RSM Classic
29,Martin Laird,0.450,1.350,3,The RSM Classic
30,Brian Harman,0.367,1.101,3,The RSM Classic
31,Patrick Fishburn,0.355,1.066,3,The RSM Classic
32,Nico Echavarria,0.318,0.953,3,The RSM Classic
33,Mark Hubbard,0.234,0.701,3,The RSM Classic
34,Austin Smotherman,0.230,0.690,3,The RSM Classic
35,Patton Kizzire,0.225,0.676,3,The RSM Classic
36,Michael Kim,0.211,0.634,3,The RSM Classic
37,Harris English,0.202,0.605,3,The RSM Classic
38,Kevin Tway,0.094,0.283,3,The RSM Classic
39,Ryo Hisatsune,0.060,0.181,3,The RSM Classic
40,Russell Knox,0.046,0.138,3,The RSM Classic
41,Vince Whaley,-0.003,-0.008,3,The RSM Classic
42,Steven Fisk,-0.051,-0.152,3,The RSM Classic
43,Will Gordon,-0.116,-0.349,3,The RSM Classic
44,Denny McCarthy,-0.138,-0.414,3,The RSM Classic
45,Kelly Kraft,-0.178,-0.533,3,The RSM Classic
46,Joseph Bramlett,-0.197,-0.592,3,The RSM Classic
47,Paul Peterson,-0.226,-0.678,3,The RSM Classic
48,Kevin Chappell,-0.257,-0.771,3,The RSM Classic
49,Ludvig Åberg,-0.265,-0.796,3,The RSM Classic
50,William McGirt,-0.340,-1.020,3,The RSM Classic
51,Michael Thorbjornsen,-0.381,-1.144,3,The RSM Classic
52,Adam Hadwin,-0.412,-1.236,3,The RSM Classic
53,Brandon Wu,-0.436,-1.307,3,The RSM Classic
54,Adam Schenk,-0.458,-1.373,3,The RSM Classic
55,Blake McShea,-0.461,-1.382,3,The RSM Classic
56,Matt Wallace,-0.487,-1.460,3,The RSM Classic
57,S.Y. Noh,-0.523,-1.570,3,The RSM Classic
58,Mackenzie Hughes,-0.607,-1.822,3,The RSM Classic
59,Robby Shelton,-0.698,-2.095,3,The RSM Classic
60,Hayden Springer,-0.903,-2.708,3,The RSM Classic
61,Jonathan Byrd,-0.938,-2.815,3,The RSM Classic
62,Eric Cole,-0.940,-2.820,3,The RSM Classic
63,Andrew Novak,-0.966,-2.899,3,The RSM Classic
64,Jake Knapp,-1.021,-3.062,3,The RSM Classic
65,Taylor Montgomery,-1.117,-3.351,3,The RSM Classic
66,Philip Knowles,-1.118,-3.353,3,The RSM Classic
67,Tyson Alexander,-1.262,-3.787,3,The RSM Classic
68,Martin Trainer,-1.263,-3.789,3,The RSM Classic
69,Callum Tarren,-2.152,-6.455,3,The RSM Classic
1,Taylor Moore,1.032,4.130,4,ZOZO CHAMPIONSHIP
2,Sam Stevens,0.992,3.970,4,ZOZO CHAMPIONSHIP
3,Lee Hodges,0.969,3.878,4,ZOZO CHAMPIONSHIP
4,Harry Hall,0.832,3.329,4,ZOZO CHAMPIONSHIP
5,Mac Meissner,0.787,3.150,4,ZOZO CHAMPIONSHIP
6,Luke List,0.784,3.137,4,ZOZO CHAMPIONSHIP
7,Andrew Novak,0.781,3.124,4,ZOZO CHAMPIONSHIP
8,Doug Ghim,0.755,3.021,4,ZOZO CHAMPIONSHIP
9,Kurt Kitayama,0.741,2.965,4,ZOZO CHAMPIONSHIP
10,Justin Thomas,0.738,2.951,4,ZOZO CHAMPIONSHIP
11,Sungjae Im,0.667,2.667,4,ZOZO CHAMPIONSHIP
12,Patrick Fishburn,0.636,2.545,4,ZOZO CHAMPIONSHIP
13,Kevin Yu,0.600,2.400,4,ZOZO CHAMPIONSHIP
13,Will Zalatoris,0.600,2.400,4,ZOZO CHAMPIONSHIP
15,Jhonattan Vegas,0.595,2.380,4,ZOZO CHAMPIONSHIP
16,Rico Hoey,0.581,2.323,4,ZOZO CHAMPIONSHIP
17,Charley Hoffman,0.561,2.244,4,ZOZO CHAMPIONSHIP
18,Adam Svensson,0.519,2.077,4,ZOZO CHAMPIONSHIP
19,J.J. Spaun,0.494,1.975,4,ZOZO CHAMPIONSHIP
20,Max Greyserman,0.460,1.842,4,ZOZO CHAMPIONSHIP
21,Chan Kim,0.443,1.773,4,ZOZO CHAMPIONSHIP
22,Seamus Power,0.386,1.543,4,ZOZO CHAMPIONSHIP
23,C.T. Pan,0.383,1.531,4,ZOZO CHAMPIONSHIP
24,Xander Schauffele,0.378,1.512,4,ZOZO CHAMPIONSHIP
25,Nick Taylor,0.355,1.419,4,ZOZO CHAMPIONSHIP
26,Nico Echavarria,0.343,1.371,4,ZOZO CHAMPIONSHIP
27,Chandler Phillips,0.341,1.365,4,ZOZO CHAMPIONSHIP
28,Min Woo Lee,0.332,1.330,4,ZOZO CHAMPIONSHIP
29,Ben Griffin,0.298,1.193,4,ZOZO CHAMPIONSHIP
30,Chad Ramey,0.294,1.176,4,ZOZO CHAMPIONSHIP
31,Yuta Sugiura,0.293,1.172,4,ZOZO CHAMPIONSHIP
32,Ryan Fox,0.278,1.111,4,ZOZO CHAMPIONSHIP
33,Adam Schenk,0.229,0.915,4,ZOZO CHAMPIONSHIP
34,Satoshi Kodaira,0.204,0.818,4,ZOZO CHAMPIONSHIP
35,Yuto Katsuragawa,0.183,0.732,4,ZOZO CHAMPIONSHIP
36,Takahiro Hataji,0.169,0.676,4,ZOZO CHAMPIONSHIP
37,Beau Hossler,0.162,0.650,4,ZOZO CHAMPIONSHIP
38,Ben Kohles,0.158,0.632,4,ZOZO CHAMPIONSHIP
39,Takumi Kanaya,0.157,0.627,4,ZOZO CHAMPIONSHIP
40,Max Homa,0.154,0.617,4,ZOZO CHAMPIONSHIP
41,Ben Silverman,0.146,0.584,4,ZOZO CHAMPIONSHIP
42,Collin Morikawa,0.132,0.527,4,ZOZO CHAMPIONSHIP
43,Mark Hubbard,0.128,0.514,4,ZOZO CHAMPIONSHIP
44,Kensei Hirata,0.124,0.495,4,ZOZO CHAMPIONSHIP
45,Matt Kuchar,0.091,0.366,4,ZOZO CHAMPIONSHIP
46,Davis Riley,0.062,0.249,4,ZOZO CHAMPIONSHIP
47,Chris Gotterup,0.051,0.206,4,ZOZO CHAMPIONSHIP
48,Tom Hoge,0.042,0.170,4,ZOZO CHAMPIONSHIP
49,Rickie Fowler,0.021,0.085,4,ZOZO CHAMPIONSHIP
50,Taisei Shimizu,0.002,0.008,4,ZOZO CHAMPIONSHIP
51,Ryo Hisatsune,-0.204,-0.814,4,ZOZO CHAMPIONSHIP
52,Joel Dahmen,-0.233,-0.930,4,ZOZO CHAMPIONSHIP
53,Victor Perez,-0.273,-1.092,4,ZOZO CHAMPIONSHIP
54,Hideki Matsuyama,-0.328,-1.310,4,ZOZO CHAMPIONSHIP
55,Si Woo Kim,-0.347,-1.387,4,ZOZO CHAMPIONSHIP
56,Sami Valimaki,-0.363,-1.451,4,ZOZO CHAMPIONSHIP
57,Patrick Rodgers,-0.366,-1.465,4,ZOZO CHAMPIONSHIP
58,S.H. Kim,-0.411,-1.645,4,ZOZO CHAMPIONSHIP
59,Eric Cole,-0.435,-1.740,4,ZOZO CHAMPIONSHIP
60,Gary Woodland,-0.478,-1.912,4,ZOZO CHAMPIONSHIP
61,K.H. Lee,-0.479,-1.916,4,ZOZO CHAMPIONSHIP
62,Ryosuke Kinoshita,-0.532,-2.129,4,ZOZO CHAMPIONSHIP
63,Andrew Putnam,-0.586,-2.344,4,ZOZO CHAMPIONSHIP
64,Takashi Ogiso,-0.589,-2.354,4,ZOZO CHAMPIONSHIP
65,Ren Yonezawa,-0.614,-2.457,4,ZOZO CHAMPIONSHIP
66,Shugo Imahira,-0.672,-2.689,4,ZOZO CHAMPIONSHIP
67,Nate Lashley,-0.673,-2.693,4,ZOZO CHAMPIONSHIP
68,Hiroshi Iwata,-0.709,-2.835,4,ZOZO CHAMPIONSHIP
69,Sahith Theegala,-0.766,-3.064,4,ZOZO CHAMPIONSHIP
70,Zac Blair,-0.819,-3.277,4,ZOZO CHAMPIONSHIP
71,Carson Young,-0.896,-3.583,4,ZOZO CHAMPIONSHIP
72,Brendon Todd,-1.223,-4.893,4,ZOZO CHAMPIONSHIP
73,Justin Lower,-1.414,-5.655,4,ZOZO CHAMPIONSHIP
74,David Skinns,-1.504,-6.014,4,ZOZO CHAMPIONSHIP
75,Naoyuki Kataoka,-1.519,-6.074,4,ZOZO CHAMPIONSHIP
76,Ryo Ishikawa,-1.608,-6.431,4,ZOZO CHAMPIONSHIP
77,Kaito Onishi,-2.305,-9.221,4,ZOZO CHAMPIONSHIP
1,Taylor Pendrith,1.585,6.338,4,Shriners Children's Open
2,Joseph Bramlett,1.437,5.747,4,Shriners Children's Open
3,Alejandro Tosti,1.267,5.069,4,Shriners Children's Open
4,Sam Stevens,1.139,4.554,4,Shriners Children's Open
5,Chris Gotterup,1.115,4.461,4,Shriners Children's Open
6,Doug Ghim,1.113,4.451,4,Shriners Children's Open
6,Maverick McNealy,1.113,4.453,4,Shriners Children's Open
8,Rickie Fowler,1.090,4.358,4,Shriners Children's Open
9,Matti Schmid,0.989,3.957,4,Shriners Children's Open
10,Michael Kim,0.967,3.868,4,Shriners Children's Open
11,Patrick Fishburn,0.920,3.680,4,Shriners Children's Open
12,Ryan Fox,0.899,3.597,4,Shriners Children's Open
13,Scott Piercy,0.885,3.538,4,Shriners Children's Open
14,Taylor Moore,0.815,3.260,4,Shriners Children's Open
15,J.T. Poston,0.732,2.929,4,Shriners Children's Open
16,Luke List,0.646,2.585,4,Shriners Children's Open
17,Kurt Kitayama,0.590,2.360,4,Shriners Children's Open
18,Davis Thompson,0.586,2.344,4,Shriners Children's Open
19,Greyson Sigg,0.535,2.141,4,Shriners Children's Open
20,Rico Hoey,0.510,2.039,4,Shriners Children's Open
21,Joe Highsmith,0.501,2.003,4,Shriners Children's Open
22,Gary Woodland,0.435,1.740,4,Shriners Children's Open
23,Mark Hubbard,0.377,1.507,4,Shriners Children's Open
24,Tyler Duncan,0.376,1.502,4,Shriners Children's Open
25,Ryan Moore,0.358,1.433,4,Shriners Children's Open
26,Jhonattan Vegas,0.312,1.247,4,Shriners Children's Open
27,Wilson Furr,0.296,1.182,4,Shriners Children's Open
28,Bud Cauley,0.292,1.166,4,Shriners Children's Open
29,Alex Smalley,0.288,1.150,4,Shriners Children's Open
30,Daniel Berger,0.270,1.078,4,Shriners Children's Open
31,Ryan McCormick,0.268,1.070,4,Shriners Children's Open
32,Neal Shipley,0.247,0.989,4,Shriners Children's Open
33,Pierceson Coody,0.223,0.892,4,Shriners Children's Open
34,Harris English,0.209,0.834,4,Shriners Children's Open
35,Austin Eckroat,0.184,0.737,4,Shriners Children's Open
36,K.H. Lee,0.157,0.628,4,Shriners Children's Open
37,J.J. Spaun,0.137,0.547,4,Shriners Children's Open
38,Ben Silverman,0.080,0.319,4,Shriners Children's Open
39,Chad Ramey,0.079,0.315,4,Shriners Children's Open
40,Matt Kuchar,0.047,0.186,4,Shriners Children's Open
41,Nick Taylor,0.031,0.125,4,Shriners Children's Open
42,C.T. Pan,0.030,0.121,4,Shriners Children's Open
43,Adam Schenk,-0.074,-0.297,4,Shriners Children's Open
44,Lanto Griffin,-0.082,-0.327,4,Shriners Children's Open
45,Nate Lashley,-0.085,-0.342,4,Shriners Children's Open
46,Beau Hossler,-0.146,-0.586,4,Shriners Children's Open
47,Norman Xiong,-0.206,-0.824,4,Shriners Children's Open
48,Harry Hall,-0.329,-1.315,4,Shriners Children's Open
49,Davis Riley,-0.334,-1.337,4,Shriners Children's Open
50,Francesco Molinari,-0.443,-1.771,4,Shriners Children's Open
51,Garrick Higgo,-0.482,-1.930,4,Shriners Children's Open
52,Jacob Bridgeman,-0.513,-2.052,4,Shriners Children's Open
53,Ian Gilligan,-0.519,-2.077,4,Shriners Children's Open
54,Trace Crowe,-0.546,-2.186,4,Shriners Children's Open
55,Nicolo Galletti,-0.560,-2.239,4,Shriners Children's Open
56,Erik van Rooyen,-0.623,-2.491,4,Shriners Children's Open
57,Vince Whaley,-0.634,-2.535,4,Shriners Children's Open
58,S.H. Kim,-0.798,-3.194,4,Shriners Children's Open
59,Andrew Putnam,-0.810,-3.240,4,Shriners Children's Open
60,Camilo Villegas,-0.828,-3.312,4,Shriners Children's Open
61,David Skinns,-0.941,-3.764,4,Shriners Children's Open
62,Zac Blair,-0.994,-3.975,4,Shriners Children's Open
63,David Lipsky,-1.023,-4.094,4,Shriners Children's Open
64,Ben Taylor,-1.050,-4.200,4,Shriners Children's Open
65,Dan McCarthy,-1.189,-4.757,4,Shriners Children's Open
66,Justin Suh,-1.566,-6.265,4,Shriners Children's Open
1,Dylan Wu,1.504,6.015,4,Black Desert Championship
2,Alejandro Tosti,1.476,5.906,4,Black Desert Championship
3,Matti Schmid,1.244,4.975,4,Black Desert Championship
4,Tom Whitney,1.223,4.894,4,Black Desert Championship
5,Joseph Bramlett,1.019,4.075,4,Black Desert Championship
6,Rico Hoey,0.970,3.879,4,Black Desert Championship
7,Carl Yuan,0.953,3.813,4,Black Desert Championship
8,Matt McCarty,0.932,3.727,4,Black Desert Championship
9,J.J. Spaun,0.901,3.605,4,Black Desert Championship
10,Max McGreevy,0.891,3.566,4,Black Desert Championship
11,Tyler Duncan,0.835,3.342,4,Black Desert Championship
12,Wesley Bryan,0.780,3.120,4,Black Desert Championship
13,Will Gordon,0.730,2.919,4,Black Desert Championship
14,Lee Hodges,0.689,2.756,4,Black Desert Championship
15,Justin Suh,0.681,2.725,4,Black Desert Championship
16,Beau Hossler,0.677,2.708,4,Black Desert Championship
17,Philip Knowles,0.652,2.609,4,Black Desert Championship
18,K.H. Lee,0.636,2.543,4,Black Desert Championship
19,Kevin Streelman,0.627,2.509,4,Black Desert Championship
20,Trey Mullinax,0.623,2.493,4,Black Desert Championship
21,Alex Smalley,0.617,2.468,4,Black Desert Championship
22,Nick Hardy,0.578,2.312,4,Black Desert Championship
23,Kevin Tway,0.533,2.134,4,Black Desert Championship
24,Daniel Berger,0.531,2.123,4,Black Desert Championship
25,Nick Taylor,0.529,2.115,4,Black Desert Championship
26,Stephan Jaeger,0.502,2.008,4,Black Desert Championship
27,Jacob Bridgeman,0.490,1.960,4,Black Desert Championship
28,Joel Dahmen,0.486,1.945,4,Black Desert Championship
29,Carson Young,0.457,1.827,4,Black Desert Championship
30,Scott Piercy,0.444,1.775,4,Black Desert Championship
31,Sam Ryder,0.408,1.633,4,Black Desert Championship
32,Cameron Champ,0.403,1.612,4,Black Desert Championship
33,Kurt Kitayama,0.385,1.542,4,Black Desert Championship
34,Harris English,0.366,1.466,4,Black Desert Championship
34,Lanto Griffin,0.366,1.466,4,Black Desert Championship
36,Mac Meissner,0.357,1.430,4,Black Desert Championship
37,Ryan Fox,0.325,1.299,4,Black Desert Championship
38,Harry Hall,0.308,1.234,4,Black Desert Championship
39,Ben Griffin,0.287,1.147,4,Black Desert Championship
40,Doug Ghim,0.282,1.129,4,Black Desert Championship
41,Chris Kirk,0.168,0.671,4,Black Desert Championship
42,Greyson Sigg,0.150,0.599,4,Black Desert Championship
43,Nate Lashley,0.118,0.474,4,Black Desert Championship
44,Ben Kohles,0.092,0.367,4,Black Desert Championship
45,Norman Xiong,0.067,0.269,4,Black Desert Championship
46,Erik Barnes,0.013,0.054,4,Black Desert Championship
47,Ryo Hisatsune,-0.036,-0.142,4,Black Desert Championship
48,Nico Echavarria,-0.064,-0.256,4,Black Desert Championship
49,Henrik Norlander,-0.067,-0.269,4,Black Desert Championship
50,Lucas Glover,-0.102,-0.408,4,Black Desert Championship
51,Patton Kizzire,-0.171,-0.684,4,Black Desert Championship
52,Patrick Rodgers,-0.173,-0.691,4,Black Desert Championship
53,Joe Highsmith,-0.206,-0.822,4,Black Desert Championship
54,Chesson Hadley,-0.223,-0.890,4,Black Desert Championship
55,Chez Reavie,-0.252,-1.009,4,Black Desert Championship
56,Erik van Rooyen,-0.322,-1.289,4,Black Desert Championship
57,Wilson Furr,-0.342,-1.367,4,Black Desert Championship
58,Adam Svensson,-0.370,-1.479,4,Black Desert Championship
59,Raul Pereda,-0.474,-1.895,4,Black Desert Championship
60,Seamus Power,-0.488,-1.951,4,Black Desert Championship
61,S.H. Kim,-0.534,-2.137,4,Black Desert Championship
62,Chad Ramey,-0.591,-2.362,4,Black Desert Championship
63,Roger Sloan,-0.695,-2.780,4,Black Desert Championship
64,Chan Kim,-0.729,-2.915,4,Black Desert Championship
65,Alexander Björk,-0.777,-3.108,4,Black Desert Championship
66,Zac Blair,-0.836,-3.343,4,Black Desert Championship
67,Trace Crowe,-0.953,-3.811,4,Black Desert Championship
68,Vince Whaley,-1.503,-6.011,4,Black Desert Championship
69,Tyson Alexander,-1.967,-7.866,4,Black Desert Championship
1,Daniel Berger,1.178,4.713,4,Sanderson Farms Championship
2,Alex Smalley,1.043,4.173,4,Sanderson Farms Championship
3,Jhonattan Vegas,0.934,3.736,4,Sanderson Farms Championship
4,Michael Thorbjornsen,0.876,3.504,4,Sanderson Farms Championship
5,Stephan Jaeger,0.818,3.271,4,Sanderson Farms Championship
6,Ryan Fox,0.810,3.239,4,Sanderson Farms Championship
7,Beau Hossler,0.791,3.162,4,Sanderson Farms Championship
8,K.H. Lee,0.774,3.097,4,Sanderson Farms Championship
9,Nick Hardy,0.767,3.067,4,Sanderson Farms Championship
10,Chan Kim,0.750,3.000,4,Sanderson Farms Championship
11,Chandler Phillips,0.701,2.804,4,Sanderson Farms Championship
12,Gary Woodland,0.676,2.703,4,Sanderson Farms Championship
13,Taylor Moore,0.675,2.700,4,Sanderson Farms Championship
14,Mark Hubbard,0.661,2.643,4,Sanderson Farms Championship
15,Trey Mullinax,0.583,2.330,4,Sanderson Farms Championship
16,Austin Smotherman,0.560,2.239,4,Sanderson Farms Championship
17,Matti Schmid,0.543,2.170,4,Sanderson Farms Championship
18,Bud Cauley,0.512,2.049,4,Sanderson Farms Championship
19,Kevin Yu,0.510,2.038,4,Sanderson Farms Championship
20,Luke List,0.467,1.866,4,Sanderson Farms Championship
21,Wesley Bryan,0.451,1.803,4,Sanderson Farms Championship
22,Henrik Norlander,0.418,1.670,4,Sanderson Farms Championship
23,Carson Young,0.333,1.333,4,Sanderson Farms Championship
24,Kevin Streelman,0.322,1.289,4,Sanderson Farms Championship
25,Doug Ghim,0.321,1.282,4,Sanderson Farms Championship
26,Hayden Springer,0.292,1.168,4,Sanderson Farms Championship
27,Ben Kohles,0.244,0.977,4,Sanderson Farms Championship
28,Seamus Power,0.243,0.970,4,Sanderson Farms Championship
29,Rico Hoey,0.226,0.903,4,Sanderson Farms Championship
30,Charley Hoffman,0.201,0.804,4,Sanderson Farms Championship
31,Ryan Hall,0.184,0.736,4,Sanderson Farms Championship
32,Will Gordon,0.181,0.724,4,Sanderson Farms Championship
33,Jacob Bridgeman,0.160,0.641,4,Sanderson Farms Championship
33,Keith Mitchell,0.160,0.640,4,Sanderson Farms Championship
35,Mac Meissner,0.148,0.592,4,Sanderson Farms Championship
36,Joe Highsmith,0.098,0.390,4,Sanderson Farms Championship
37,Martin Laird,0.080,0.318,4,Sanderson Farms Championship
37,Vince Whaley,0.080,0.318,4,Sanderson Farms Championship
39,Rickie Fowler,0.045,0.180,4,Sanderson Farms Championship
40,Sam Stevens,0.042,0.168,4,Sanderson Farms Championship
41,Andrew Novak,0.026,0.104,4,Sanderson Farms Championship
42,Patrick Fishburn,0.022,0.086,4,Sanderson Farms Championship
43,Lee Hodges,0.007,0.029,4,Sanderson Farms Championship
44,Bill Haas,0.002,0.006,4,Sanderson Farms Championship
45,Trace Crowe,-0.016,-0.066,4,Sanderson Farms Championship
46,Emiliano Grillo,-0.028,-0.113,4,Sanderson Farms Championship
47,Lucas Glover,-0.052,-0.210,4,Sanderson Farms Championship
48,Joseph Bramlett,-0.094,-0.377,4,Sanderson Farms Championship
49,Sami Valimaki,-0.099,-0.395,4,Sanderson Farms Championship
50,Mackenzie Hughes,-0.115,-0.462,4,Sanderson Farms Championship
51,Matt McCarty,-0.147,-0.587,4,Sanderson Farms Championship
52,Patton Kizzire,-0.158,-0.634,4,Sanderson Farms Championship
53,Roger Sloan,-0.181,-0.725,4,Sanderson Farms Championship
54,Paul Barjon,-0.186,-0.744,4,Sanderson Farms Championship
55,Nick Dunlap,-0.203,-0.814,4,Sanderson Farms Championship
56,Justin Lower,-0.223,-0.894,4,Sanderson Farms Championship
57,Brandon Wu,-0.233,-0.931,4,Sanderson Farms Championship
58,Adrien Dumont de Chassart,-0.320,-1.281,4,Sanderson Farms Championship
59,Eric Cole,-0.340,-1.362,4,Sanderson Farms Championship
60,Callum Tarren,-0.362,-1.449,4,Sanderson Farms Championship
61,Chesson Hadley,-0.373,-1.494,4,Sanderson Farms Championship
62,Nicholas Lindheim,-0.383,-1.534,4,Sanderson Farms Championship
63,Nate Lashley,-0.459,-1.835,4,Sanderson Farms Championship
64,Ben Griffin,-0.553,-2.212,4,Sanderson Farms Championship
65,Brandt Snedeker,-0.557,-2.229,4,Sanderson Farms Championship
66,Matt NeSmith,-0.653,-2.612,4,Sanderson Farms Championship
67,Brice Garnett,-0.763,-3.053,4,Sanderson Farms Championship
68,David Skinns,-1.617,-6.467,4,Sanderson Farms Championship
1,Austin Smotherman,1.317,5.266,4,Procore Championship
2,Corey Conners,1.212,4.848,4,Procore Championship
3,Keith Mitchell,1.113,4.451,4,Procore Championship
4,Roger Sloan,1.060,4.239,4,Procore Championship
5,Joel Dahmen,0.961,3.845,4,Procore Championship
6,Patrick Fishburn,0.786,3.142,4,Procore Championship
7,Sahith Theegala,0.749,2.994,4,Procore Championship
8,Chesson Hadley,0.637,2.549,4,Procore Championship
9,Zac Blair,0.621,2.483,4,Procore Championship
10,Brendon Todd,0.612,2.448,4,Procore Championship
11,Jhonattan Vegas,0.609,2.435,4,Procore Championship
12,Neal Shipley,0.551,2.204,4,Procore Championship
13,J.J. Spaun,0.539,2.154,4,Procore Championship
14,Bud Cauley,0.527,2.106,4,Procore Championship
15,Min Woo Lee,0.522,2.086,4,Procore Championship
16,Wesley Bryan,0.504,2.015,4,Procore Championship
17,Joe Highsmith,0.502,2.008,4,Procore Championship
18,Ben Silverman,0.439,1.757,4,Procore Championship
19,Johnny Keefer,0.411,1.645,4,Procore Championship
20,Chan Kim,0.400,1.600,4,Procore Championship
21,Wilson Furr,0.381,1.525,4,Procore Championship
22,Justin Lower,0.376,1.505,4,Procore Championship
23,Michael Thorbjornsen,0.371,1.484,4,Procore Championship
24,Patrick Rodgers,0.358,1.430,4,Procore Championship
25,Kevin Chappell,0.335,1.338,4,Procore Championship
26,Greyson Sigg,0.331,1.322,4,Procore Championship
27,Doug Ghim,0.305,1.219,4,Procore Championship
28,Andrew Putnam,0.293,1.172,4,Procore Championship
29,Pierceson Coody,0.278,1.112,4,Procore Championship
29,Rico Hoey,0.278,1.113,4,Procore Championship
31,Kevin Dougherty,0.277,1.107,4,Procore Championship
32,J.B. Holmes,0.251,1.002,4,Procore Championship
33,Chandler Phillips,0.250,0.999,4,Procore Championship
34,Patton Kizzire,0.245,0.979,4,Procore Championship
35,Sangmoon Bae,0.240,0.961,4,Procore Championship
36,Lanto Griffin,0.238,0.952,4,Procore Championship
37,Mackenzie Hughes,0.164,0.655,4,Procore Championship
38,Luke Clanton,0.116,0.464,4,Procore Championship
39,"Blaine Hale, Jr.",0.079,0.315,4,Procore Championship
39,Webb Simpson,0.079,0.314,4,Procore Championship
41,Josh Teater,0.044,0.175,4,Procore Championship
42,Brandon Wu,-0.016,-0.065,4,Procore Championship
43,Matt Kuchar,-0.035,-0.139,4,Procore Championship
44,Chez Reavie,-0.043,-0.174,4,Procore Championship
45,Justin Suh,-0.064,-0.255,4,Procore Championship
46,Garrick Higgo,-0.101,-0.403,4,Procore Championship
47,Kevin Tway,-0.121,-0.484,4,Procore Championship
48,Tom Johnson,-0.130,-0.521,4,Procore Championship
48,Sam Stevens,-0.130,-0.519,4,Procore Championship
50,Ben Kohles,-0.147,-0.589,4,Procore Championship
51,Matti Schmid,-0.234,-0.935,4,Procore Championship
52,Lucas Glover,-0.252,-1.007,4,Procore Championship
53,Nick Hardy,-0.261,-1.045,4,Procore Championship
54,Charley Hoffman,-0.263,-1.054,4,Procore Championship
55,David Skinns,-0.306,-1.223,4,Procore Championship
56,Henrik Norlander,-0.337,-1.347,4,Procore Championship
57,David Lipsky,-0.339,-1.356,4,Procore Championship
58,Tom Hoge,-0.432,-1.729,4,Procore Championship
59,Brandt Snedeker,-0.446,-1.783,4,Procore Championship
60,Rafael Campos,-0.524,-2.096,4,Procore Championship
61,Adam Svensson,-0.538,-2.152,4,Procore Championship
62,Chad Ramey,-0.667,-2.667,4,Procore Championship
63,Martin Laird,-0.913,-3.652,4,Procore Championship
64,Tom Whitney,-0.965,-3.862,4,Procore Championship
65,Aaron Baddeley,-1.246,-4.983,4,Procore Championship
1,Scottie Scheffler,0.857,3.429,4,TOUR Championship
2,Collin Morikawa,0.730,2.919,4,TOUR Championship
3,Ludvig Åberg,0.588,2.351,4,TOUR Championship
4,Sahith Theegala,0.527,2.108,4,TOUR Championship
5,Sungjae Im,0.493,1.974,4,TOUR Championship
6,Rory McIlroy,0.349,1.396,4,TOUR Championship
7,Adam Scott,0.293,1.174,4,TOUR Championship
8,Byeong Hun An,0.290,1.162,4,TOUR Championship
9,Patrick Cantlay,0.223,0.891,4,TOUR Championship
10,Robert MacIntyre,0.175,0.701,4,TOUR Championship
11,Hideki Matsuyama,0.142,0.570,4,TOUR Championship
12,Justin Thomas,0.113,0.454,4,TOUR Championship
13,Wyndham Clark,0.096,0.384,4,TOUR Championship
14,Chris Kirk,0.082,0.329,4,TOUR Championship
15,Shane Lowry,0.071,0.286,4,TOUR Championship
16,Tom Hoge,0.059,0.237,4,TOUR Championship
17,Sam Burns,0.019,0.077,4,TOUR Championship
18,Tommy Fleetwood,-0.014,-0.054,4,TOUR Championship
19,Taylor Pendrith,-0.040,-0.160,4,TOUR Championship
20,Tony Finau,-0.051,-0.202,4,TOUR Championship
21,Aaron Rai,-0.065,-0.259,4,TOUR Championship
22,Xander Schauffele,-0.114,-0.457,4,TOUR Championship
23,Russell Henley,-0.122,-0.487,4,TOUR Championship
24,Billy Horschel,-0.345,-1.381,4,TOUR Championship
25,Akshay Bhatia,-0.377,-1.506,4,TOUR Championship
26,Viktor Hovland,-0.382,-1.526,4,TOUR Championship
