rank,player,avg,total_sg_arg,measured_rounds,tournament
25,Rory McIlroy,-0.443,-1.771,4,TOUR Championship
26,Sam Burns,-0.455,-1.820,4,TOUR Championship
27,Tony Finau,-0.463,-1.853,4,TOUR Championship
28,Christiaan Bezuidenhout,-0.525,-2.100,4,TOUR Championship
29,Taylor Pendrith,-0.965,-3.859,4,TOUR Championship
30,Sepp Straka,-1.172,-4.690,4,TOUR Championship
1,Tony Finau,1.134,4.534,4,BMW Championship
2,Cam Davis,0.861,3.445,4,BMW Championship
3,Adam Scott,0.855,3.419,4,BMW Championship
4,Ludvig Åberg,0.544,2.174,4,BMW Championship
5,Russell Henley,0.502,2.009,4,BMW Championship
6,Keegan Bradley,0.470,1.878,4,BMW Championship
7,Patrick Cantlay,0.386,1.543,4,BMW Championship
8,Max Homa,0.382,1.528,4,BMW Championship
9,Shane Lowry,0.361,1.443,4,BMW Championship
10,Chris Kirk,0.357,1.426,4,BMW Championship
11,Justin Thomas,0.341,1.364,4,BMW Championship
12,Tom Hoge,0.269,1.076,4,BMW Championship
13,Viktor Hovland,0.246,0.985,4,BMW Championship
14,Taylor Pendrith,0.216,0.865,4,BMW Championship
15,Cameron Young,0.167,0.669,4,BMW Championship
16,Adam Hadwin,0.152,0.607,4,BMW Championship
17,Sungjae Im,0.150,0.598,4,BMW Championship
18,Nick Dunlap,0.134,0.537,4,BMW Championship
19,Matt Fitzpatrick,0.121,0.483,4,BMW Championship
20,Akshay Bhatia,0.108,0.433,4,BMW Championship
21,Xander Schauffele,0.096,0.383,4,BMW Championship
22,Si Woo Kim,0.088,0.350,4,BMW Championship
23,Collin Morikawa,0.080,0.320,4,BMW Championship
24,Sam Burns,0.078,0.312,4,BMW Championship
25,Rory McIlroy,0.072,0.286,4,BMW Championship
26,Billy Horschel,0.068,0.273,4,BMW Championship
27,Scottie Scheffler,0.011,0.042,4,BMW Championship
28,Tommy Fleetwood,-0.048,-0.192,4,BMW Championship
29,Davis Thompson,-0.096,-0.386,4,BMW Championship
30,Alex Noren,-0.105,-0.419,4,BMW Championship
31,Wyndham Clark,-0.106,-0.425,4,BMW Championship
32,Jason Day,-0.113,-0.453,4,BMW Championship
33,Sahith Theegala,-0.199,-0.796,4,BMW Championship
34,Will Zalatoris,-0.222,-0.888,4,BMW Championship
35,Denny McCarthy,-0.264,-1.056,4,BMW Championship
36,Stephan Jaeger,-0.344,-1.378,4,BMW Championship
36,Sepp Straka,-0.344,-1.377,4,BMW Championship
38,Byeong Hun An,-0.355,-1.421,4,BMW Championship
39,Aaron Rai,-0.412,-1.647,4,BMW Championship
40,Max Greyserman,-0.417,-1.667,4,BMW Championship
41,Christiaan Bezuidenhout,-0.555,-2.219,4,BMW Championship
42,Eric Cole,-0.569,-2.277,4,BMW Championship
43,Brian Harman,-0.587,-2.347,4,BMW Championship
44,J.T. Poston,-0.593,-2.373,4,BMW Championship
45,Corey Conners,-0.692,-2.767,4,BMW Championship
46,Thomas Detry,-0.787,-3.147,4,BMW Championship
47,Matthieu Pavon,-0.798,-3.191,4,BMW Championship
48,Austin Eckroat,-1.118,-4.473,4,BMW Championship
1,Eric Cole,1.099,4.397,4,FedEx St. Jude Championship
2,Byeong Hun An,1.016,4.065,4,FedEx St. Jude Championship
3,J.T. Poston,0.979,3.916,4,FedEx St. Jude Championship
4,Collin Morikawa,0.945,3.779,4,FedEx St. Jude Championship
5,Tony Finau,0.834,3.337,4,FedEx St. Jude Championship
6,Christiaan Bezuidenhout,0.754,3.014,4,FedEx St. Jude Championship
7,Mackenzie Hughes,0.674,2.696,4,FedEx St. Jude Championship
8,Denny McCarthy,0.531,2.124,4,FedEx St. Jude Championship
8,Alex Noren,0.531,2.122,4,FedEx St. Jude Championship
10,Maverick McNealy,0.497,1.987,4,FedEx St. Jude Championship
11,Adam Hadwin,0.475,1.901,4,FedEx St. Jude Championship
12,Robert MacIntyre,0.458,1.830,4,FedEx St. Jude Championship
13,Rory McIlroy,0.438,1.752,4,FedEx St. Jude Championship
14,Austin Eckroat,0.398,1.593,4,FedEx St. Jude Championship
15,Cameron Young,0.382,1.528,4,FedEx St. Jude Championship
16,Wyndham Clark,0.379,1.517,4,FedEx St. Jude Championship
17,Tommy Fleetwood,0.363,1.452,4,FedEx St. Jude Championship
18,Matt Fitzpatrick,0.362,1.446,4,FedEx St. Jude Championship
19,Billy Horschel,0.350,1.399,4,FedEx St. Jude Championship
20,Adam Scott,0.321,1.284,4,FedEx St. Jude Championship
21,Mark Hubbard,0.320,1.279,4,FedEx St. Jude Championship
22,Thomas Detry,0.270,1.079,4,FedEx St. Jude Championship
23,Ben Griffin,0.267,1.066,4,FedEx St. Jude Championship
24,Justin Thomas,0.253,1.010,4,FedEx St. Jude Championship
25,Peter Malnati,0.250,0.999,4,FedEx St. Jude Championship
26,Emiliano Grillo,0.206,0.825,4,FedEx St. Jude Championship
27,Aaron Rai,0.196,0.782,4,FedEx St. Jude Championship
28,Scottie Scheffler,0.140,0.560,4,FedEx St. Jude Championship
29,Will Zalatoris,0.123,0.492,4,FedEx St. Jude Championship
30,Seamus Power,0.102,0.408,4,FedEx St. Jude Championship
31,Tom Kim,0.079,0.315,4,FedEx St. Jude Championship
32,Justin Rose,0.077,0.306,4,FedEx St. Jude Championship
33,Sam Burns,0.052,0.208,4,FedEx St. Jude Championship
34,Erik van Rooyen,0.039,0.157,4,FedEx St. Jude Championship
35,Xander Schauffele,0.014,0.055,4,FedEx St. Jude Championship
36,Sahith Theegala,-0.022,-0.088,4,FedEx St. Jude Championship
37,Akshay Bhatia,-0.046,-0.184,4,FedEx St. Jude Championship
38,Davis Thompson,-0.056,-0.225,4,FedEx St. Jude Championship
39,Victor Perez,-0.091,-0.363,4,FedEx St. Jude Championship
40,Tom Hoge,-0.109,-0.438,4,FedEx St. Jude Championship
41,Taylor Moore,-0.145,-0.580,4,FedEx St. Jude Championship
42,Harris English,-0.151,-0.604,4,FedEx St. Jude Championship
43,Si Woo Kim,-0.166,-0.664,4,FedEx St. Jude Championship
44,Stephan Jaeger,-0.174,-0.697,4,FedEx St. Jude Championship
45,Nick Taylor,-0.177,-0.707,4,FedEx St. Jude Championship
46,Min Woo Lee,-0.201,-0.805,4,FedEx St. Jude Championship
47,Patrick Cantlay,-0.203,-0.813,4,FedEx St. Jude Championship
48,Patrick Rodgers,-0.210,-0.842,4,FedEx St. Jude Championship
49,Nick Dunlap,-0.248,-0.992,4,FedEx St. Jude Championship
50,Matthieu Pavon,-0.252,-1.007,4,FedEx St. Jude Championship
51,Max Homa,-0.268,-1.073,4,FedEx St. Jude Championship
52,Viktor Hovland,-0.275,-1.102,4,FedEx St. Jude Championship
53,Taylor Pendrith,-0.276,-1.106,4,FedEx St. Jude Championship
54,Shane Lowry,-0.295,-1.181,4,FedEx St. Jude Championship
55,Keegan Bradley,-0.451,-1.806,4,FedEx St. Jude Championship
56,Sungjae Im,-0.478,-1.911,4,FedEx St. Jude Championship
57,Jason Day,-0.480,-1.919,4,FedEx St. Jude Championship
58,Cam Davis,-0.500,-2.001,4,FedEx St. Jude Championship
59,Chris Kirk,-0.545,-2.179,4,FedEx St. Jude Championship
60,Corey Conners,-0.555,-2.220,4,FedEx St. Jude Championship
61,Jhonattan Vegas,-0.605,-2.419,4,FedEx St. Jude Championship
62,Brian Harman,-0.649,-2.595,4,FedEx St. Jude Championship
62,Brendon Todd,-0.649,-2.598,4,FedEx St. Jude Championship
64,Max Greyserman,-0.692,-2.768,4,FedEx St. Jude Championship
65,Russell Henley,-0.700,-2.800,4,FedEx St. Jude Championship
66,Jake Knapp,-0.708,-2.833,4,FedEx St. Jude Championship
67,Jordan Spieth,-0.774,-3.097,4,FedEx St. Jude Championship
68,Hideki Matsuyama,-0.829,-3.315,4,FedEx St. Jude Championship
69,Ludvig Åberg,-0.921,-3.684,4,FedEx St. Jude Championship
70,Sepp Straka,-1.274,-5.096,4,FedEx St. Jude Championship
1,Mackenzie Hughes,1.570,6.281,4,Wyndham Championship
2,Martin Trainer,1.105,4.421,4,Wyndham Championship
3,Christiaan Bezuidenhout,0.887,3.550,4,Wyndham Championship
4,Daniel Berger,0.775,3.099,4,Wyndham Championship
5,Chad Ramey,0.702,2.809,4,Wyndham Championship
6,Max Greyserman,0.601,2.404,4,Wyndham Championship
7,Patrick Rodgers,0.530,2.119,4,Wyndham Championship
8,Chandler Phillips,0.525,2.101,4,Wyndham Championship
9,Seamus Power,0.514,2.056,4,Wyndham Championship
10,Brice Garnett,0.506,2.026,4,Wyndham Championship
11,Brendon Todd,0.502,2.008,4,Wyndham Championship
12,Cameron Young,0.485,1.941,4,Wyndham Championship
13,Nick Hardy,0.458,1.831,4,Wyndham Championship
14,Davis Riley,0.448,1.794,4,Wyndham Championship
15,Jhonattan Vegas,0.440,1.762,4,Wyndham Championship
16,Davis Thompson,0.435,1.739,4,Wyndham Championship
17,Nico Echavarria,0.427,1.710,4,Wyndham Championship
18,Denny McCarthy,0.384,1.535,4,Wyndham Championship
19,Matt Wallace,0.382,1.528,4,Wyndham Championship
20,Justin Lower,0.379,1.515,4,Wyndham Championship
21,Ryan Moore,0.358,1.432,4,Wyndham Championship
22,Adam Svensson,0.343,1.372,4,Wyndham Championship
23,Roger Sloan,0.336,1.346,4,Wyndham Championship
24,Victor Perez,0.332,1.328,4,Wyndham Championship
25,Ben Griffin,0.322,1.290,4,Wyndham Championship
26,Vince Whaley,0.319,1.277,4,Wyndham Championship
27,Joel Dahmen,0.296,1.186,4,Wyndham Championship
28,Zach Johnson,0.293,1.171,4,Wyndham Championship
29,J.J. Spaun,0.285,1.140,4,Wyndham Championship
30,Aaron Rai,0.279,1.117,4,Wyndham Championship
31,Keegan Bradley,0.258,1.031,4,Wyndham Championship
32,Trace Crowe,0.219,0.878,4,Wyndham Championship
33,Eric Cole,0.212,0.848,4,Wyndham Championship
34,Luke Clanton,0.203,0.814,4,Wyndham Championship
35,Matt Kuchar,0.197,0.787,4,Wyndham Championship
36,Keith Mitchell,0.183,0.734,4,Wyndham Championship
37,Chris Gotterup,0.077,0.309,4,Wyndham Championship
38,Beau Hossler,0.073,0.293,4,Wyndham Championship
39,Adam Hadwin,0.064,0.256,4,Wyndham Championship
40,Andrew Novak,0.057,0.228,4,Wyndham Championship
41,Pierceson Coody,0.052,0.207,4,Wyndham Championship
42,Austin Eckroat,0.045,0.181,4,Wyndham Championship
43,Rico Hoey,0.044,0.178,4,Wyndham Championship
44,K.H. Lee,0.001,0.003,4,Wyndham Championship
45,Charley Hoffman,-0.002,-0.007,4,Wyndham Championship
46,Brian Harman,-0.028,-0.110,4,Wyndham Championship
47,Chan Kim,-0.096,-0.382,4,Wyndham Championship
48,Maverick McNealy,-0.205,-0.820,4,Wyndham Championship
49,Cameron Champ,-0.249,-0.995,4,Wyndham Championship
50,Matti Schmid,-0.270,-1.078,4,Wyndham Championship
51,Doug Ghim,-0.302,-1.209,4,Wyndham Championship
52,Zac Blair,-0.308,-1.231,4,Wyndham Championship
53,Billy Horschel,-0.315,-1.259,4,Wyndham Championship
54,Ben Taylor,-0.322,-1.287,4,Wyndham Championship
55,Taylor Moore,-0.341,-1.362,4,Wyndham Championship
56,Jacob Bridgeman,-0.358,-1.430,4,Wyndham Championship
56,Sungjae Im,-0.358,-1.432,4,Wyndham Championship
58,Kevin Tway,-0.363,-1.452,4,Wyndham Championship
59,Justin Suh,-0.403,-1.611,4,Wyndham Championship
60,Mac Meissner,-0.408,-1.632,4,Wyndham Championship
61,S.H. Kim,-0.444,-1.774,4,Wyndham Championship
62,Gary Woodland,-0.487,-1.949,4,Wyndham Championship
63,Ryo Hisatsune,-0.561,-2.243,4,Wyndham Championship
64,Jorge Campillo,-0.707,-2.827,4,Wyndham Championship
65,Nate Lashley,-0.908,-3.632,4,Wyndham Championship
66,Emiliano Grillo,-1.158,-4.630,4,Wyndham Championship
1,Maverick McNealy,1.300,5.201,4,3M Open
2,Brice Garnett,1.234,4.937,4,3M Open
3,Mackenzie Hughes,1.059,4.235,4,3M Open
4,Zach Johnson,1.023,4.090,4,3M Open
5,Adam Svensson,1.007,4.027,4,3M Open
6,Davis Riley,0.965,3.860,4,3M Open
7,Keith Mitchell,0.938,3.750,4,3M Open
8,Sahith Theegala,0.844,3.374,4,3M Open
9,Cody Gribble,0.799,3.195,4,3M Open
10,Joseph Bramlett,0.707,2.827,4,3M Open
11,Harry Hall,0.667,2.667,4,3M Open
12,MJ Daffue,0.644,2.574,4,3M Open
13,Emiliano Grillo,0.638,2.550,4,3M Open
14,Justin Suh,0.635,2.540,4,3M Open
15,Akshay Bhatia,0.626,2.502,4,3M Open
15,Wesley Bryan,0.626,2.503,4,3M Open
17,Jacob Bridgeman,0.623,2.491,4,3M Open
18,Cam Davis,0.532,2.128,4,3M Open
19,Matt Kuchar,0.507,2.027,4,3M Open
20,Patrick Rodgers,0.445,1.781,4,3M Open
21,Matt NeSmith,0.444,1.777,4,3M Open
22,Trace Crowe,0.419,1.677,4,3M Open
23,Taylor Moore,0.393,1.571,4,3M Open
24,Sam Burns,0.347,1.386,4,3M Open
25,Matt Wallace,0.338,1.352,4,3M Open
26,Robby Shelton,0.291,1.163,4,3M Open
27,Justin Lower,0.258,1.030,4,3M Open
28,Adam Schenk,0.255,1.020,4,3M Open
29,K.H. Lee,0.244,0.975,4,3M Open
30,Max Greyserman,0.236,0.944,4,3M Open
31,Joe Highsmith,0.234,0.936,4,3M Open
32,Kurt Kitayama,0.221,0.883,4,3M Open
33,Henrik Norlander,0.219,0.874,4,3M Open
33,Alex Smalley,0.219,0.876,4,3M Open
35,Doug Ghim,0.211,0.845,4,3M Open
36,Pierceson Coody,0.207,0.827,4,3M Open
37,Keegan Bradley,0.200,0.799,4,3M Open
38,Kevin Chappell,0.180,0.719,4,3M Open
39,Kevin Yu,0.148,0.592,4,3M Open
40,Dylan Wu,0.132,0.528,4,3M Open
41,Andrew Putnam,0.114,0.457,4,3M Open
42,Austin Smotherman,0.092,0.368,4,3M Open
43,Scott Piercy,0.089,0.354,4,3M Open
44,Patrick Fishburn,0.088,0.351,4,3M Open
45,Gary Woodland,0.080,0.318,4,3M Open
46,Tyler Duncan,0.016,0.063,4,3M Open
47,David Skinns,0.006,0.022,4,3M Open
48,Kevin Kisner,-0.013,-0.052,4,3M Open
49,Ben Kohles,-0.043,-0.171,4,3M Open
50,Lanto Griffin,-0.059,-0.236,4,3M Open
51,Aaron Baddeley,-0.065,-0.259,4,3M Open
52,Tony Finau,-0.076,-0.306,4,3M Open
53,Jhonattan Vegas,-0.091,-0.365,4,3M Open
54,Kelly Kraft,-0.104,-0.415,4,3M Open
55,Kevin Streelman,-0.106,-0.426,4,3M Open
56,Taylor Pendrith,-0.120,-0.480,4,3M Open
57,Chad Ramey,-0.132,-0.528,4,3M Open
58,J.J. Spaun,-0.183,-0.732,4,3M Open
58,Robert Streb,-0.183,-0.733,4,3M Open
60,Ben Silverman,-0.184,-0.737,4,3M Open
61,Hayden Springer,-0.234,-0.937,4,3M Open
62,Chris Gotterup,-0.260,-1.042,4,3M Open
63,Sam Stevens,-0.316,-1.263,4,3M Open
64,Matti Schmid,-0.347,-1.388,4,3M Open
65,Nick Hardy,-0.362,-1.449,4,3M Open
66,Andrew Novak,-0.365,-1.462,4,3M Open
67,Neal Shipley,-0.385,-1.541,4,3M Open
68,Cameron Champ,-0.402,-1.607,4,3M Open
68,Seamus Power,-0.402,-1.610,4,3M Open
70,Stewart Cink,-0.534,-2.135,4,3M Open
71,Charley Hoffman,-0.612,-2.447,4,3M Open
72,Mac Meissner,-0.613,-2.452,4,3M Open
73,Rico Hoey,-0.730,-2.920,4,3M Open
74,Carson Young,-1.039,-4.156,4,3M Open
1,Vince Whaley,1.569,6.277,4,Barracuda Championship
2,Martin Laird,1.378,5.512,4,Barracuda Championship
3,Mac Meissner,1.234,4.937,4,Barracuda Championship
4,Patrick Rodgers,1.229,4.915,4,Barracuda Championship
5,Henrik Norlander,1.187,4.749,4,Barracuda Championship
6,Andrew Putnam,1.064,4.257,4,Barracuda Championship
7,Jayden Schaper,0.969,3.875,4,Barracuda Championship
8,Robby Shelton,0.943,3.771,4,Barracuda Championship
9,Alex Smalley,0.920,3.679,4,Barracuda Championship
10,Chad Ramey,0.879,3.516,4,Barracuda Championship
11,Lanto Griffin,0.876,3.505,4,Barracuda Championship
12,Jake Knapp,0.865,3.461,4,Barracuda Championship
13,Ben Taylor,0.792,3.168,4,Barracuda Championship
14,Nick Dunlap,0.770,3.078,4,Barracuda Championship
15,Sam Stevens,0.702,2.807,4,Barracuda Championship
16,Taylor Pendrith,0.670,2.681,4,Barracuda Championship
17,Charley Hoffman,0.655,2.619,4,Barracuda Championship
18,Lukas Nemecz,0.652,2.608,4,Barracuda Championship
19,Ian Gilligan,0.629,2.514,4,Barracuda Championship
20,Alejandro Tosti,0.594,2.374,4,Barracuda Championship
21,Peter Malnati,0.556,2.223,4,Barracuda Championship
22,S.Y. Noh,0.521,2.085,4,Barracuda Championship
23,Kevin Chappell,0.485,1.940,4,Barracuda Championship
24,Paul Waring,0.484,1.934,4,Barracuda Championship
25,Sean O'Hair,0.483,1.930,4,Barracuda Championship
26,Oliver Wilson,0.424,1.696,4,Barracuda Championship
27,Joseph Bramlett,0.409,1.635,4,Barracuda Championship
28,Patton Kizzire,0.393,1.571,4,Barracuda Championship
29,Rico Hoey,0.251,1.005,4,Barracuda Championship
30,Scott Gutschewski,0.238,0.953,4,Barracuda Championship
31,Hurly Long,0.217,0.867,4,Barracuda Championship
32,Santiago Tarrio,0.173,0.693,4,Barracuda Championship
33,Sam Bairstow,0.153,0.612,4,Barracuda Championship
34,Casey Jarvis,0.136,0.544,4,Barracuda Championship
35,Michael Kim,0.092,0.366,4,Barracuda Championship
36,Hayden Buckley,0.072,0.287,4,Barracuda Championship
37,Sam Ryder,0.061,0.243,4,Barracuda Championship
38,Chase Hanna,0.060,0.240,4,Barracuda Championship
39,Mitchell Schow,0.058,0.232,4,Barracuda Championship
40,Chez Reavie,0.049,0.195,4,Barracuda Championship
41,J.J. Spaun,0.048,0.192,4,Barracuda Championship
42,Todd Clements,0.031,0.125,4,Barracuda Championship
43,Chan Kim,-0.004,-0.015,4,Barracuda Championship
44,Justin Suh,-0.033,-0.134,4,Barracuda Championship
45,Max Greyserman,-0.132,-0.527,4,Barracuda Championship
46,Patrick Fishburn,-0.133,-0.532,4,Barracuda Championship
46,Nate Lashley,-0.133,-0.532,4,Barracuda Championship
48,Max Rottluff,-0.152,-0.610,4,Barracuda Championship
49,Neal Shipley,-0.169,-0.675,4,Barracuda Championship
50,MJ Daffue,-0.230,-0.922,4,Barracuda Championship
51,Ben Silverman,-0.239,-0.955,4,Barracuda Championship
52,Nick Watney,-0.249,-0.998,4,Barracuda Championship
53,Adrien Saddier,-0.271,-1.083,4,Barracuda Championship
54,Max Kieffer,-0.275,-1.102,4,Barracuda Championship
55,Mark Hubbard,-0.375,-1.500,4,Barracuda Championship
56,S.H. Kim,-0.380,-1.519,4,Barracuda Championship
57,Cameron Champ,-0.468,-1.872,4,Barracuda Championship
58,Michael Thorbjornsen,-0.575,-2.300,4,Barracuda Championship
59,Chesson Hadley,-0.634,-2.536,4,Barracuda Championship
60,Matti Schmid,-0.702,-2.809,4,Barracuda Championship
61,Marcus Armitage,-0.737,-2.947,4,Barracuda Championship
62,Espen Kofstad,-0.769,-3.075,4,Barracuda Championship
63,Scott Piercy,-0.772,-3.088,4,Barracuda Championship
64,Ryan Brehm,-1.105,-4.422,4,Barracuda Championship
65,Will Gordon,-1.237,-4.949,4,Barracuda Championship
1,Rico Hoey,1.458,5.832,4,ISCO Championship
2,Tom Vaillant,1.340,5.359,4,ISCO Championship
3,Pierceson Coody,1.180,4.720,4,ISCO Championship
4,Harry Hall,1.063,4.251,4,ISCO Championship
5,S.Y. Noh,0.934,3.737,4,ISCO Championship
6,Russell Knox,0.658,2.632,4,ISCO Championship
7,Chan Kim,0.631,2.524,4,ISCO Championship
8,Mac Meissner,0.621,2.484,4,ISCO Championship
9,Henrik Norlander,0.598,2.391,4,ISCO Championship
10,Callum Tarren,0.586,2.344,4,ISCO Championship
11,Brandt Snedeker,0.578,2.310,4,ISCO Championship
12,Zac Blair,0.545,2.180,4,ISCO Championship
13,Cody Gribble,0.515,2.059,4,ISCO Championship
14,William McGirt,0.431,1.725,4,ISCO Championship
15,Neal Shipley,0.375,1.501,4,ISCO Championship
16,Bill Haas,0.372,1.488,4,ISCO Championship
16,Johannes Veerman,0.372,1.486,4,ISCO Championship
18,Fabrizio Zanotti,0.309,1.236,4,ISCO Championship
19,Dylan Wu,0.304,1.215,4,ISCO Championship
20,Aaron Baddeley,0.273,1.091,4,ISCO Championship
21,Ben Silverman,0.269,1.076,4,ISCO Championship
22,Matthis Besard,0.260,1.038,4,ISCO Championship
23,Ben Taylor,0.245,0.978,4,ISCO Championship
24,Jacques Kruyswijk,0.239,0.956,4,ISCO Championship
25,Patton Kizzire,0.224,0.897,4,ISCO Championship
26,David Lipsky,0.219,0.876,4,ISCO Championship
27,Spencer Cross,0.200,0.800,4,ISCO Championship
28,Brandon Wu,0.187,0.746,4,ISCO Championship
29,Lukas Nemecz,0.159,0.635,4,ISCO Championship
30,Ryan Moore,0.156,0.625,4,ISCO Championship
31,Alex Smalley,0.129,0.516,4,ISCO Championship
32,Sebastian Friedrichsen,0.097,0.389,4,ISCO Championship
33,Andrew Wilson,0.087,0.349,4,ISCO Championship
34,Jonathan Byrd,0.076,0.302,4,ISCO Championship
35,Sam Ryder,0.064,0.254,4,ISCO Championship
36,Max Rottluff,0.047,0.186,4,ISCO Championship
37,MJ Daffue,0.017,0.069,4,ISCO Championship
38,Andrea Pavan,0.001,0.004,4,ISCO Championship
39,Kevin Kisner,-0.005,-0.022,4,ISCO Championship
40,S.H. Kim,-0.006,-0.026,4,ISCO Championship
41,J.J. Spaun,-0.018,-0.071,4,ISCO Championship
42,Lanto Griffin,-0.021,-0.083,4,ISCO Championship
43,Chez Reavie,-0.046,-0.186,4,ISCO Championship
44,Angel Hidalgo Portillo,-0.151,-0.604,4,ISCO Championship
45,Marcus Kinhult,-0.157,-0.627,4,ISCO Championship
46,Adrien Saddier,-0.176,-0.706,4,ISCO Championship
47,Cooper Musselman,-0.186,-0.744,4,ISCO Championship
48,Austin Smotherman,-0.193,-0.774,4,ISCO Championship
49,Hayden Buckley,-0.239,-0.956,4,ISCO Championship
50,Sam Bairstow,-0.269,-1.076,4,ISCO Championship
51,Patrick Fishburn,-0.277,-1.109,4,ISCO Championship
52,Ryan McCormick,-0.292,-1.169,4,ISCO Championship
52,Troy Merritt,-0.292,-1.168,4,ISCO Championship
54,Chad Ramey,-0.310,-1.241,4,ISCO Championship
55,Andy Sullivan,-0.334,-1.335,4,ISCO Championship
56,James Hahn,-0.357,-1.428,4,ISCO Championship
57,Hayden Springer,-0.362,-1.449,4,ISCO Championship
58,Kevin Tway,-0.364,-1.456,4,ISCO Championship
59,Roger Sloan,-0.366,-1.464,4,ISCO Championship
60,Kevin Chappell,-0.392,-1.569,4,ISCO Championship
61,Nick Hardy,-0.439,-1.757,4,ISCO Championship
62,Garrick Higgo,-0.504,-2.016,4,ISCO Championship
63,Matt NeSmith,-0.527,-2.108,4,ISCO Championship
64,Luke Clanton,-0.584,-2.335,4,ISCO Championship
65,Ricardo Gouveia,-0.604,-2.415,4,ISCO Championship
66,Paul Barjon,-0.744,-2.976,4,ISCO Championship
67,Francesco Laporta,-0.998,-3.994,4,ISCO Championship
1,Rory McIlroy,1.233,4.934,4,Genesis Scottish Open
2,Davis Thompson,1.211,4.844,4,Genesis Scottish Open
3,Cam Davis,1.057,4.229,4,Genesis Scottish Open
4,Sungjae Im,0.940,3.760,4,Genesis Scottish Open
5,Aaron Rai,0.926,3.703,4,Genesis Scottish Open
6,Rasmus Højgaard,0.749,2.995,4,Genesis Scottish Open
7,Matthew Jordan,0.743,2.973,4,Genesis Scottish Open
7,Alex Noren,0.743,2.971,4,Genesis Scottish Open
9,Gary Woodland,0.704,2.818,4,Genesis Scottish Open
10,Nick Taylor,0.512,2.047,4,Genesis Scottish Open
11,Mackenzie Hughes,0.496,1.984,4,Genesis Scottish Open
12,Thorbjørn Olesen,0.484,1.938,4,Genesis Scottish Open
13,Antoine Rozner,0.460,1.840,4,Genesis Scottish Open
14,Max Homa,0.429,1.718,4,Genesis Scottish Open
15,Kurt Kitayama,0.398,1.594,4,Genesis Scottish Open
16,Richard Mansell,0.389,1.557,4,Genesis Scottish Open
17,Wyndham Clark,0.369,1.476,4,Genesis Scottish Open
18,Jorge Campillo,0.342,1.370,4,Genesis Scottish Open
19,Charley Hoffman,0.340,1.360,4,Genesis Scottish Open
20,Collin Morikawa,0.334,1.336,4,Genesis Scottish Open
21,Romain Langasque,0.330,1.320,4,Genesis Scottish Open
22,Haotong Li,0.310,1.239,4,Genesis Scottish Open
23,Marcel Siem,0.294,1.177,4,Genesis Scottish Open
24,Max Greyserman,0.290,1.161,4,Genesis Scottish Open
25,Si Woo Kim,0.281,1.126,4,Genesis Scottish Open
26,Ryan Fox,0.277,1.110,4,Genesis Scottish Open
26,Ben Kohles,0.277,1.107,4,Genesis Scottish Open
28,Corey Conners,0.262,1.048,4,Genesis Scottish Open
29,Brendon Todd,0.239,0.957,4,Genesis Scottish Open
30,Lee Hodges,0.233,0.931,4,Genesis Scottish Open
31,Eric Cole,0.232,0.929,4,Genesis Scottish Open
32,Ashun Wu,0.188,0.753,4,Genesis Scottish Open
33,Nick Bachem,0.164,0.657,4,Genesis Scottish Open
34,Brian Harman,0.155,0.621,4,Genesis Scottish Open
35,Min Woo Lee,0.151,0.605,4,Genesis Scottish Open
36,Sam Stevens,0.150,0.602,4,Genesis Scottish Open
37,Sahith Theegala,0.147,0.589,4,Genesis Scottish Open
38,Daniel Brown,0.115,0.460,4,Genesis Scottish Open
39,Tom Kim,0.112,0.448,4,Genesis Scottish Open
40,Ben Griffin,0.111,0.443,4,Genesis Scottish Open
41,Max Kieffer,0.075,0.300,4,Genesis Scottish Open
42,Robert MacIntyre,0.073,0.294,4,Genesis Scottish Open
43,Ludvig Åberg,0.059,0.235,4,Genesis Scottish Open
44,Tommy Fleetwood,0.041,0.163,4,Genesis Scottish Open
45,Justin Thomas,0.037,0.148,4,Genesis Scottish Open
46,Adam Scott,-0.020,-0.081,4,Genesis Scottish Open
47,Alejandro Del Rey,-0.032,-0.128,4,Genesis Scottish Open
48,Xander Schauffele,-0.037,-0.149,4,Genesis Scottish Open
49,Niklas Norgaard,-0.042,-0.169,4,Genesis Scottish Open
50,Jesper Svensson,-0.092,-0.369,4,Genesis Scottish Open
51,Matteo Manassero,-0.116,-0.463,4,Genesis Scottish Open
52,Connor Syme,-0.143,-0.570,4,Genesis Scottish Open
53,Harris English,-0.146,-0.585,4,Genesis Scottish Open
54,Stewart Cink,-0.270,-1.081,4,Genesis Scottish Open
55,Thomas Detry,-0.286,-1.143,4,Genesis Scottish Open
56,Jens Dantorp,-0.317,-1.266,4,Genesis Scottish Open
57,Taylor Montgomery,-0.361,-1.444,4,Genesis Scottish Open
58,Junghwan Lee,-0.363,-1.450,4,Genesis Scottish Open
59,Yannik Paul,-0.455,-1.819,4,Genesis Scottish Open
60,Grant Forrest,-0.467,-1.867,4,Genesis Scottish Open
60,Andrew Novak,-0.467,-1.866,4,Genesis Scottish Open
62,Matt Fitzpatrick,-0.474,-1.896,4,Genesis Scottish Open
63,Ugo Coussaud,-0.497,-1.988,4,Genesis Scottish Open
64,Erik van Rooyen,-0.578,-2.311,4,Genesis Scottish Open
65,Viktor Hovland,-0.603,-2.412,4,Genesis Scottish Open
66,Nicolai Højgaard,-0.694,-2.775,4,Genesis Scottish Open
